islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,1000,N/A,N/A,N/A,N/A,N/A
0,1,1000,300,300,0,68,52.299
0,2,1000,300,300,0,65,53.922
1,0,1000,N/A,N/A,N/A,N/A,N/A
0,3,1000,300,300,0,66,55.354
1,1,1000,300,300,0,70,52.614
0,4,1000,300,300,0,67,56.703
2,0,1000,N/A,N/A,N/A,N/A,N/A
2,1,1000,300,300,0,65,52.432
1,2,1000,300,300,0,68,54.317
3,0,1000,N/A,N/A,N/A,N/A,N/A
3,1,1000,300,300,0,65,52.622
0,5,1000,300,300,0,67,57.809
2,2,1000,300,300,0,65,53.906
4,0,1000,N/A,N/A,N/A,N/A,N/A
4,1,1000,300,300,0,65,52.254
1,3,1000,300,300,0,68,55.791
3,2,1000,300,300,0,67,54.379
0,6,1000,300,300,0,68,58.839
2,3,1000,300,300,0,65,55.172
4,2,1000,300,300,0,66,53.987
4,3,1000,300,300,0,66,55.286
1,4,1000,300,300,0,68,57.091
3,3,1000,300,300,0,70,55.801
0,7,1000,300,300,0,70,59.838
2,4,1000,300,300,0,67,56.351
4,4,1000,300,300,0,68,56.571
1,5,1000,300,300,0,68,58.19
3,4,1000,300,300,0,68,57.056
0,8,1000,300,300,0,70,60.742
0,9,1000,300,300,0,72,61.667
2,5,1000,300,300,0,68,57.478
4,5,1000,300,300,0,68,57.661
1,6,1000,300,300,0,71,59.32
3,5,1000,300,300,0,68,58.291
0,10,930,300,300,-70,73,62.13225806451613
2,6,1000,300,300,0,68,58.621
4,6,1000,300,300,0,69,58.658
4,7,1000,300,300,0,69,59.582
1,7,1070,300,300,70,71,60.84672897196262
3,6,1000,300,300,0,71,59.301
0,11,930,279,279,0,73,62.92258064516129
2,7,1000,300,300,0,69,59.688
4,8,1000,300,300,0,74,60.611
1,8,1070,321,321,0,71,61.95140186915888
3,7,1000,300,300,0,69,60.372
0,12,930,279,279,0,74,63.73763440860215
2,8,1000,300,300,0,72,60.688
4,9,1000,300,300,0,77,61.5
1,9,1070,321,321,0,77,63.00934579439252
3,8,1000,300,300,0,74,61.265
0,13,930,279,279,0,75,64.52580645161291
2,9,1000,300,300,0,73,61.659
4,10,930,300,300,-70,74,62.075268817204304
1,10,995,321,321,-75,74,63.70251256281407
3,9,1000,300,300,0,74,62.22
0,14,1000,279,279,70,77,65.437
2,10,1005,300,300,5,78,62.713432835820896
4,11,930,279,279,0,74,62.91612903225806
1,11,995,298,298,0,74,64.54874371859296
3,10,1000,300,300,0,75,63.043
0,15,1000,300,300,0,77,66.159
2,11,1005,301,301,0,78,63.637810945273635
4,12,1000,279,279,70,74,64.077
1,12,995,298,298,0,74,65.32763819095477
3,11,1000,300,300,0,76,63.84
0,16,1000,300,300,0,80,66.971
2,12,1005,301,301,0,77,64.5452736318408
4,13,1000,300,300,0,78,65.089
1,13,995,298,298,0,77,66.1638190954774
3,12,1000,300,300,0,78,64.627
0,17,1000,300,300,0,81,67.769
2,13,1005,301,301,0,81,65.39701492537313
4,14,1000,300,300,0,78,65.921
1,14,995,298,298,0,78,66.8713567839196
3,13,1000,300,300,0,76,65.32
3,14,1000,300,300,0,76,66.054
0,18,1000,300,300,0,81,68.485
2,14,1005,301,301,0,81,66.37910447761195
4,15,1000,300,300,0,78,66.799
1,15,995,298,298,0,78,67.60301507537689
3,15,1000,300,300,0,77,66.863
0,19,1000,300,300,0,82,69.251
2,15,1005,301,301,0,81,67.18706467661691
4,16,1000,300,300,0,79,67.512
1,16,995,298,298,0,77,68.34773869346733
3,16,1000,300,300,0,77,67.651
0,20,930,300,300,-70,80,69.71290322580646
2,16,1005,301,301,0,81,68.08855721393034
4,17,1000,300,300,0,79,68.212
4,18,1000,300,300,0,79,69.073
1,17,1065,298,298,70,85,69.46572769953052
3,17,1000,300,300,0,78,68.459
0,21,930,279,279,0,81,70.30860215053764
2,17,1005,301,301,0,83,68.9592039800995
4,19,1000,300,300,0,80,69.752
1,18,1065,319,319,0,85,70.12488262910799
3,18,1000,300,300,0,78,69.097
0,22,930,279,279,0,82,70.89247311827957
2,18,1005,301,301,0,83,69.6955223880597
4,20,930,300,300,-70,81,70.08494623655913
1,19,1065,319,319,0,85,70.7699530516432
3,19,1000,300,300,0,80,69.699
0,23,1000,279,279,70,81,71.64
2,19,1005,301,301,0,83,70.50945273631841
4,21,930,279,279,0,81,70.6752688172043
1,20,990,319,319,-75,79,71.06666666666666
3,20,930,300,300,-70,80,70.10752688172043
3,21,930,279,279,0,81,70.68709677419355
0,24,1000,300,300,0,82,72.174
2,20,1010,301,301,5,84,71.18811881188118
4,22,1000,279,279,70,83,71.513
1,21,990,297,297,0,81,71.5969696969697
3,22,1000,279,279,70,83,71.59
0,25,1000,300,300,0,85,72.751
2,21,1010,303,303,0,84,71.94752475247525
4,23,1000,300,300,0,82,72.159
1,22,990,297,297,0,80,72.06969696969696
3,23,1000,300,300,0,83,72.232
0,26,1000,300,300,0,83,73.376
2,22,1010,303,303,0,84,72.59603960396039
4,24,1000,300,300,0,82,72.691
1,23,990,297,297,0,81,72.56363636363636
3,24,1000,300,300,0,83,72.852
3,25,1000,300,300,0,84,73.475
0,27,1000,300,300,0,83,74.01
2,23,1010,303,303,0,84,73.24851485148515
2,24,1010,303,303,0,84,73.74950495049505
4,25,1000,300,300,0,82,73.243
1,24,990,297,297,0,81,73.11616161616162
3,26,1000,300,300,0,84,73.984
0,28,1000,300,300,0,84,74.664
2,25,1010,303,303,0,85,74.28316831683168
4,26,1000,300,300,0,83,73.848
4,27,1000,300,300,0,83,74.403
1,25,990,297,297,0,82,73.55656565656565
1,26,990,297,297,0,82,74.12929292929293
3,27,1000,300,300,0,84,74.471
0,29,1000,300,300,0,83,75.285
2,26,1010,303,303,0,85,74.75643564356436
4,28,1000,300,300,0,83,74.942
4,29,1000,300,300,0,85,75.465
1,27,990,297,297,0,83,74.53535353535354
3,28,1000,300,300,0,85,74.974
0,30,930,300,300,-70,83,75.51935483870967
2,27,1010,303,303,0,85,75.37227722772278
4,30,930,300,300,-70,85,75.68817204301075
4,31,930,279,279,0,86,76.09784946236559
1,28,1060,297,297,70,84,75.27358490566037
3,29,1000,300,300,0,86,75.373
0,31,1000,279,279,70,84,76.229
2,28,1010,303,303,0,84,75.77623762376237
4,32,930,279,279,0,86,76.63225806451612
1,29,1060,318,318,0,85,75.85188679245283
3,30,930,300,300,-70,84,75.5505376344086
0,32,1000,300,300,0,84,76.693
2,29,1010,303,303,0,85,76.29009900990098
4,33,1000,279,279,70,85,77.208
1,30,986,318,318,-74,85,76.05882352941177
3,31,930,279,279,0,84,76.01182795698925
0,33,1000,300,300,0,86,77.282
2,30,1013,303,303,3,85,76.7314906219151
4,34,1000,300,300,0,85,77.583
1,31,985,296,295,0,84,76.43553299492386
3,32,1001,279,279,71,86,76.62237762237763
0,34,1000,300,300,0,86,77.703
2,31,1013,304,304,0,85,77.21125370187562
4,35,1000,300,300,0,85,78.043
1,32,985,295,295,0,86,76.83248730964468
3,33,1001,300,300,0,88,77.08691308691309
0,35,1000,300,300,0,86,78.079
2,32,1013,304,304,0,86,77.56169792694965
4,36,1000,300,300,0,86,78.427
1,33,985,295,295,0,85,77.26700507614213
3,34,1001,300,300,0,89,77.55844155844156
0,36,1000,300,300,0,86,78.437
2,33,1013,304,304,0,86,78.06416584402764
4,37,1000,300,300,0,87,78.803
1,34,985,295,295,0,86,77.60609137055837
3,35,1001,300,300,0,89,78.1008991008991
0,37,1000,300,300,0,86,78.844
0,38,1000,300,300,0,87,79.142
2,34,1013,304,304,0,86,78.45607107601185
2,35,1013,304,304,0,87,78.96248766041461
4,38,1000,300,300,0,87,79.189
1,35,985,295,295,0,86,77.93705583756345
3,36,1001,300,300,0,89,78.62237762237763
3,37,1001,300,300,0,89,79.08591408591408
0,39,1000,300,300,0,87,79.492
2,36,1013,304,304,0,87,79.32971372161896
4,39,1000,300,300,0,88,79.416
1,36,985,295,295,0,86,78.18883248730964
3,38,1001,300,300,0,89,79.52847152847153
0,40,930,300,300,-70,88,79.76344086021506
2,37,1013,304,304,0,89,79.6594274432379
4,40,930,300,300,-70,88,79.56129032258065
4,41,930,279,279,0,88,79.86451612903225
1,37,1055,295,295,70,88,78.83412322274881
3,39,1001,300,300,0,89,79.95004995004994
0,41,1000,279,279,70,88,80.281
0,42,1000,300,300,0,88,80.49
2,38,1013,304,304,0,90,80.03751233958539
4,42,930,279,279,0,87,80.11075268817204
1,38,1055,316,316,0,88,79.32322274881517
3,40,931,300,300,-70,88,80.02255639097744
0,43,1000,300,300,0,89,80.877
2,39,1013,304,304,0,89,80.37117472852913
4,43,1000,279,279,70,89,80.713
1,39,1055,316,316,0,88,79.59905213270142
3,41,931,279,279,0,88,80.29645542427497
0,44,1000,300,300,0,90,81.145
2,40,942,304,304,-71,89,80.35031847133757
2,41,941,283,282,0,88,80.5557917109458
4,44,1000,300,300,0,91,80.984
1,40,981,316,316,-74,87,79.71559633027523
3,42,1002,279,279,71,89,80.84730538922156
0,45,1000,300,300,0,90,81.517
2,42,1015,282,282,74,88,81.01182266009852
4,45,1000,300,300,0,89,81.301
1,41,981,294,294,0,88,79.92864424057085
3,43,1001,301,300,0,90,81.25774225774225
0,46,1000,300,300,0,89,81.916
2,43,1015,304,304,0,88,81.36256157635468
4,46,1000,300,300,0,89,81.616
1,42,981,294,294,0,89,80.16717635066259
3,44,1001,300,300,0,89,81.53046953046953
0,47,1000,300,300,0,89,82.186
2,44,1015,304,304,0,88,81.5960591133005
4,47,1000,300,300,0,90,81.985
1,43,981,294,294,0,90,80.40978593272172
3,45,1001,300,300,0,89,81.84615384615384
0,48,1000,300,300,0,90,82.48
2,45,1015,304,304,0,90,81.84532019704433
4,48,1000,300,300,0,90,82.182
1,44,981,294,294,0,90,80.7217125382263
3,46,1001,300,300,0,89,82.16383616383617
0,49,1000,300,300,0,90,82.826
2,46,1015,304,304,0,90,82.05024630541872
4,49,1000,300,300,0,91,82.484
1,45,981,294,294,0,88,81.00509683995922
3,47,1001,300,300,0,89,82.3986013986014
0,50,930,300,300,-70,91,82.86774193548388
2,47,1015,304,304,0,90,82.32610837438423
4,50,930,300,300,-70,93,82.43548387096774
1,46,1051,294,294,70,90,81.64034253092294
3,48,1001,300,300,0,92,82.68631368631368
0,51,1000,279,279,70,91,83.234
2,48,1015,304,304,0,89,82.64926108374384
4,51,930,279,279,0,91,82.59569892473118
1,47,1051,315,315,0,90,81.99524262607041
3,49,1001,300,300,0,92,83.02597402597402
0,52,1000,300,300,0,90,83.41
0,53,1000,300,300,0,92,83.678
2,49,1015,304,304,0,91,82.93793103448276
4,52,930,279,279,0,92,82.85268817204302
1,48,1051,315,315,0,90,82.37107516650809
3,50,931,300,300,-70,91,83.0343716433942
0,54,1000,300,300,0,94,83.992
2,50,944,304,304,-71,92,83.05190677966101
2,51,944,283,283,0,92,83.23940677966101
4,53,1000,279,279,70,92,83.354
1,49,1051,315,315,0,91,82.71360608943863
3,51,1002,279,279,71,91,83.52594810379242
0,55,1000,300,300,0,94,84.229
2,52,944,283,283,0,92,83.53283898305085
4,54,1000,300,300,0,92,83.637
1,50,977,315,315,-74,89,82.73285568065506
1,51,977,293,293,0,92,82.94370522006142
3,52,1001,301,300,0,91,83.95404595404595
0,56,1000,300,300,0,95,84.465
2,53,1018,283,283,74,92,83.91257367387034
4,55,1000,300,300,0,92,84.029
1,52,977,293,293,0,91,83.22313203684749
3,53,1001,300,300,0,91,84.1048951048951
0,57,1000,300,300,0,95,84.739
2,54,1018,305,305,0,92,84.35756385068763
4,56,1000,300,300,0,93,84.261
1,53,977,293,293,0,93,83.48515864892528
3,54,1001,300,300,0,93,84.3046953046953
0,58,1000,300,300,0,94,84.995
2,55,1018,305,305,0,92,84.67288801571709
4,57,1000,300,300,0,93,84.528
4,58,1000,300,300,0,93,84.79
1,54,977,293,293,0,93,83.73080859774821
3,55,1001,300,300,0,92,84.56843156843156
0,59,1000,300,300,0,94,85.194
2,56,1018,305,305,0,92,84.86542239685659
4,59,1000,300,300,0,93,84.92
1,55,977,293,293,0,93,83.80450358239509
3,56,1001,300,300,0,93,84.8981018981019
0,60,930,300,300,-70,94,85.22365591397849
2,57,1018,305,305,0,92,85.07269155206286
4,60,930,300,300,-70,92,84.90107526881721
1,56,1047,293,293,70,94,84.31327602674308
3,57,1001,300,300,0,92,84.999000999001
0,61,1000,279,279,70,94,85.591
2,58,1018,305,305,0,92,85.2426326129666
4,61,930,279,279,0,94,85.05376344086021
1,57,1047,314,314,0,94,84.6313276026743
3,58,1001,300,300,0,93,85.23576423576424
0,62,1000,300,300,0,94,85.833
2,59,1018,305,305,0,94,85.49901768172889
4,62,930,279,279,0,94,85.30430107526881
1,58,1047,314,314,0,94,84.99617956064948
3,59,1001,300,300,0,93,85.51248751248751
0,63,1000,300,300,0,94,86.109
2,60,947,305,305,-71,92,85.34530095036959
4,63,930,279,279,0,94,85.3731182795699
1,59,1047,314,314,0,94,85.17191977077364
3,60,1002,300,300,1,94,85.68163672654691
3,61,1001,301,300,0,94,85.87212787212788
0,64,1000,300,300,0,94,86.361
2,61,947,284,284,0,92,85.53431890179515
4,64,1000,279,279,70,94,85.865
4,65,1000,300,300,0,93,86.08
4,66,1000,300,300,0,93,86.2
1,60,974,314,314,-73,93,85.1858316221766
3,62,1001,300,300,0,94,86.02097902097903
0,65,1000,300,300,0,94,86.554
2,62,1020,284,284,73,93,85.90294117647059
2,63,1020,306,306,0,94,85.9892156862745
2,64,1020,306,306,0,94,86.17450980392157
4,67,1000,300,300,0,94,86.455
1,61,974,292,292,0,93,85.42505133470226
3,63,1001,300,300,0,94,86.1048951048951
0,66,1000,300,300,0,94,86.582
2,65,1020,306,306,0,93,86.2843137254902
4,68,1000,300,300,0,95,86.73
1,62,974,292,292,0,93,85.6776180698152
3,64,1001,300,300,0,95,86.24875124875125
0,67,1000,300,300,0,94,86.8
2,66,1020,306,306,0,94,86.47058823529412
4,69,1000,300,300,0,95,86.893
