islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,1000,N/A,N/A,N/A,N/A,N/A
0,1,1000,300,300,0,71,52.708
1,0,1000,N/A,N/A,N/A,N/A,N/A
0,2,1000,300,300,0,71,54.347
0,3,1000,300,300,0,72,55.886
1,1,1000,300,300,0,69,52.8
0,4,1000,300,300,0,71,57.088
1,2,1000,300,300,0,69,54.623
2,0,1000,N/A,N/A,N/A,N/A,N/A
0,5,1000,300,300,0,72,58.334
1,3,1000,300,300,0,68,56.145
2,1,1000,300,300,0,69,52.84
0,6,1000,300,300,0,71,59.516
1,4,1000,300,300,0,69,57.542
0,7,1000,300,300,0,72,60.672
3,0,1000,N/A,N/A,N/A,N/A,N/A
3,1,1000,300,300,0,65,52.479
4,0,1000,N/A,N/A,N/A,N/A,N/A
4,1,1000,300,300,0,69,52.629
4,2,1000,300,300,0,70,54.353
1,5,1000,300,300,0,71,58.734
2,2,1000,300,300,0,68,54.519
3,2,1000,300,300,0,67,54.244
4,3,1000,300,300,0,71,55.943
0,8,1000,300,300,0,72,61.763
1,6,1000,300,300,0,70,60.024
2,3,1000,300,300,0,68,55.975
3,3,1000,300,300,0,67,55.834
3,4,1000,300,300,0,68,57.132
4,4,1000,300,300,0,71,57.38
0,9,1000,300,300,0,73,62.77
1,7,1000,300,300,0,72,61.232
2,4,1000,300,300,0,71,57.257
2,5,1000,300,300,0,71,58.524
3,5,1000,300,300,0,69,58.319
4,5,1000,300,300,0,71,58.677
0,10,930,300,300,-70,74,63.42258064516129
1,8,1070,300,300,70,73,62.73644859813084
2,6,1000,300,300,0,73,59.678
3,6,1000,300,300,0,70,59.536
4,6,1000,300,300,0,70,59.771
0,11,930,279,279,0,74,64.24301075268818
1,9,1070,321,321,0,75,64.02242990654206
2,7,1000,300,300,0,73,60.836
3,7,1000,300,300,0,73,60.696
4,7,1000,300,300,0,71,60.949
0,12,930,279,279,0,76,65.12795698924731
1,10,995,321,321,-75,76,64.86030150753768
2,8,1075,300,300,75,75,62.42511627906977
3,8,1000,300,300,0,73,61.818
4,8,1000,300,300,0,72,61.947
0,13,930,279,279,0,75,65.9989247311828
1,11,995,298,298,0,75,65.82211055276382
2,9,1075,322,322,0,75,63.61953488372093
3,9,1000,300,300,0,72,62.774
4,9,1000,300,300,0,74,62.919
0,14,930,279,279,0,77,66.77849462365592
1,12,995,298,298,0,78,66.6321608040201
2,10,1000,322,322,-75,79,64.369
3,10,1005,300,300,5,75,64.01492537313433
3,11,1005,301,301,0,77,65.09253731343284
4,10,1000,300,300,0,77,63.972
0,15,1000,279,279,70,79,67.814
0,16,1000,300,300,0,79,68.619
1,13,995,298,298,0,78,67.49246231155779
2,11,1000,300,300,0,79,65.409
3,12,1005,301,301,0,77,66.1681592039801
4,11,1000,300,300,0,79,64.906
0,17,1000,300,300,0,83,69.413
1,14,995,298,298,0,80,68.2683417085427
2,12,1000,300,300,0,80,66.393
3,13,1005,301,301,0,77,67.16019900497513
3,14,1005,301,301,0,77,68.14825870646766
4,12,1000,300,300,0,79,65.981
0,18,1000,300,300,0,83,70.126
1,15,995,298,298,0,80,69.1819095477387
2,13,1000,300,300,0,78,67.26
3,15,1005,301,301,0,82,69.1094527363184
3,16,1005,301,301,0,80,70.11044776119402
4,13,1000,300,300,0,79,66.885
0,19,1000,300,300,0,83,70.914
1,16,995,298,298,0,80,69.91658291457287
2,14,1000,300,300,0,79,68.106
3,17,1005,301,301,0,80,70.92437810945273
4,14,1000,300,300,0,79,67.74
0,20,930,300,300,-70,81,71.3731182795699
1,17,995,298,298,0,81,70.66834170854271
1,18,995,298,298,0,81,71.43015075376884
2,15,1000,300,300,0,79,68.938
3,18,1005,301,301,0,82,71.78109452736318
3,19,1005,301,301,0,82,72.6089552238806
4,15,1000,300,300,0,79,68.631
0,21,930,279,279,0,81,72.03548387096774
1,19,1065,298,298,70,81,72.36244131455399
2,16,1000,300,300,0,79,69.725
3,20,935,301,301,-70,85,73.05133689839572
4,16,1070,300,300,70,81,69.99439252336448
0,22,930,279,279,0,81,72.78279569892473
1,20,990,319,319,-75,82,72.80606060606061
2,17,1000,300,300,0,82,70.581
3,21,935,280,280,0,85,73.58930481283423
4,17,1070,321,321,0,82,71.02710280373832
4,18,1070,321,321,0,82,72.05514018691589
0,23,930,279,279,0,82,73.24623655913979
1,21,990,297,297,0,82,73.43838383838384
2,18,1075,300,300,75,82,71.76372093023255
3,22,935,280,280,0,85,74.06737967914438
3,23,935,280,280,0,86,74.66951871657754
4,19,1070,321,321,0,82,73.00747663551402
0,24,930,279,279,0,82,73.77741935483871
1,22,990,297,297,0,82,74.1010101010101
2,19,1075,322,322,0,82,72.72651162790697
