islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,1000,N/A,N/A,N/A,N/A,N/A
0,1,1000,300,300,0,4,10.175
1,0,1000,N/A,N/A,N/A,N/A,N/A
1,1,1000,300,300,0,4,10.131
0,2,1000,300,300,0,4,9.655
2,0,1000,N/A,N/A,N/A,N/A,N/A
2,1,1000,300,300,0,3,10.137
1,2,1000,300,300,0,4,9.722
2,2,1000,300,300,0,3,9.659
0,3,1000,300,300,0,3,9.48
3,0,1000,N/A,N/A,N/A,N/A,N/A
1,3,1000,300,300,0,3,9.356
3,1,1000,300,300,0,4,10.165
0,4,1000,300,300,0,4,9.213
4,0,1000,N/A,N/A,N/A,N/A,N/A
2,3,1000,300,300,0,3,9.357
4,1,1000,300,300,0,3,10.068
1,4,1000,300,300,0,2,9.096
3,2,1000,300,300,0,3,9.768
0,5,1000,300,300,0,4,8.953
2,4,1000,300,300,0,3,9.25
4,2,1000,300,300,0,4,9.637
4,3,1000,300,300,0,4,9.312
1,5,1000,300,300,0,3,9.12
3,3,1000,300,300,0,4,9.431
0,6,1000,300,300,0,4,8.872
2,5,1000,300,300,0,3,8.995
4,4,1000,300,300,0,3,9.03
1,6,1000,300,300,0,3,8.916
3,4,1000,300,300,0,3,9.262
0,7,1000,300,300,0,3,8.754
2,6,1000,300,300,0,3,8.846
4,5,1000,300,300,0,3,8.905
1,7,1000,300,300,0,3,8.764
3,5,1000,300,300,0,3,8.985
0,8,1000,300,300,0,3,8.664
2,7,1000,300,300,0,4,8.844
4,6,1000,300,300,0,2,8.728
1,8,1000,300,300,0,3,8.68
3,6,1000,300,300,0,4,8.957
0,9,1000,300,300,0,3,8.565
2,8,1000,300,300,0,3,8.729
4,7,1000,300,300,0,2,8.67
4,8,1000,300,300,0,3,8.523
1,9,1000,300,300,0,3,8.609
3,7,1000,300,300,0,3,8.836
0,10,1000,300,300,0,3,8.537
2,9,1000,300,300,0,3,8.709
4,9,1000,300,300,0,3,8.494
1,10,1000,300,300,0,3,8.495
3,8,1000,300,300,0,3,8.81
0,11,1000,300,300,0,2,8.509
2,10,1000,300,300,0,3,8.703
4,10,1000,300,300,0,3,8.442
4,11,1000,300,300,0,3,8.457
1,11,1000,300,300,0,4,8.409
3,9,1000,300,300,0,3,8.618
3,10,1000,300,300,0,4,8.565
3,11,1000,300,300,0,3,8.594
0,12,1000,300,300,0,3,8.515
2,11,1000,300,300,0,3,8.578
4,12,1000,300,300,0,3,8.448
1,12,1000,300,300,0,2,8.383
3,12,1000,300,300,0,3,8.469
0,13,1000,300,300,0,3,8.453
2,12,1000,300,300,0,3,8.481
4,13,1000,300,300,0,3,8.471
1,13,1000,300,300,0,2,8.306
3,13,1000,300,300,0,3,8.446
0,14,1000,300,300,0,3,8.402
2,13,1000,300,300,0,3,8.511
4,14,1000,300,300,0,3,8.358
1,14,1000,300,300,0,2,8.464
3,14,1000,300,300,0,2,8.401
0,15,1000,300,300,0,3,8.372
0,16,1000,300,300,0,3,8.323
2,14,1000,300,300,0,3,8.444
4,15,1000,300,300,0,3,8.304
1,15,1000,300,300,0,2,8.38
3,15,1000,300,300,0,2,8.395
0,17,1000,300,300,0,3,8.311
0,18,1000,300,300,0,3,8.387
2,15,1000,300,300,0,4,8.463
2,16,1000,300,300,0,3,8.443
4,16,1000,300,300,0,3,8.306
1,16,1000,300,300,0,2,8.353
3,16,1000,300,300,0,2,8.403
0,19,1000,300,300,0,3,8.33
2,17,1000,300,300,0,4,8.424
4,17,1000,300,300,0,3,8.336
1,17,1000,300,300,0,2,8.3
3,17,1000,300,300,0,2,8.362
0,20,1000,300,300,0,3,8.306
2,18,1000,300,300,0,3,8.403
4,18,1000,300,300,0,2,8.335
1,18,1000,300,300,0,3,8.371
3,18,1000,300,300,0,2,8.363
0,21,1000,300,300,0,3,8.258
2,19,1000,300,300,0,3,8.397
4,19,1000,300,300,0,2,8.417
4,20,1000,300,300,0,3,8.385
1,19,1000,300,300,0,2,8.489
3,19,1000,300,300,0,3,8.358
0,22,1000,300,300,0,3,8.171
2,20,1000,300,300,0,2,8.375
4,21,1000,300,300,0,3,8.325
1,20,1000,300,300,0,2,8.436
3,20,1000,300,300,0,3,8.311
0,23,1000,300,300,0,3,8.23
2,21,1000,300,300,0,3,8.324
4,22,1000,300,300,0,3,8.407
1,21,1000,300,300,0,2,8.391
3,21,1000,300,300,0,3,8.423
0,24,1000,300,300,0,3,8.225
2,22,1000,300,300,0,3,8.299
4,23,1000,300,300,0,3,8.357
1,22,1000,300,300,0,2,8.332
3,22,1000,300,300,0,2,8.33
0,25,1000,300,300,0,3,8.266
2,23,1000,300,300,0,3,8.301
4,24,1000,300,300,0,2,8.384
1,23,1000,300,300,0,2,8.243
1,24,1000,300,300,0,2,8.279
3,23,1000,300,300,0,3,8.382
0,26,1000,300,300,0,3,8.291
2,24,1000,300,300,0,4,8.239
4,25,1000,300,300,0,3,8.316
1,25,1000,300,300,0,2,8.294
3,24,1000,300,300,0,3,8.4
3,25,1000,300,300,0,3,8.42
0,27,1000,300,300,0,3,8.302
2,25,1000,300,300,0,3,8.287
4,26,1000,300,300,0,3,8.363
1,26,1000,300,300,0,2,8.319
1,27,1000,300,300,0,3,8.278
3,26,1000,300,300,0,3,8.342
3,27,1000,300,300,0,3,8.392
0,28,1000,300,300,0,4,8.279
2,26,1000,300,300,0,3,8.368
4,27,1000,300,300,0,4,8.237
1,28,1000,300,300,0,3,8.356
3,28,1000,300,300,0,3,8.309
0,29,1000,300,300,0,4,8.288
2,27,1000,300,300,0,3,8.36
2,28,1000,300,300,0,3,8.278
4,28,1000,300,300,0,3,8.269
