islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,100,N/A,N/A,N/A,N/A,N/A
0,1,100,30,30,0,4,7.42
0,2,100,30,30,0,3,6.81
1,0,100,N/A,N/A,N/A,N/A,N/A
1,1,100,30,30,0,3,7.61
2,0,100,N/A,N/A,N/A,N/A,N/A
2,1,100,30,30,0,3,7.73
0,3,100,30,30,0,3,6.48
1,2,100,30,30,0,3,7.25
2,2,100,30,30,0,3,6.99
0,4,100,30,30,0,3,6.44
1,3,100,30,30,0,3,6.72
2,3,100,30,30,0,3,6.74
0,5,100,30,30,0,3,6.45
1,4,100,30,30,0,4,6.78
1,5,100,30,30,0,3,6.53
2,4,100,30,30,0,3,6.38
0,6,100,30,30,0,3,6.42
1,6,100,30,30,0,4,6.27
2,5,100,30,30,0,3,6.18
2,6,100,30,30,0,3,6.03
0,7,100,30,30,0,3,6.39
1,7,100,30,30,0,3,6.27
2,7,100,30,30,0,2,6.02
0,8,100,30,30,0,3,6.12
1,8,100,30,30,0,3,6.35
2,8,100,30,30,0,3,6.01
0,9,100,30,30,0,3,5.99
1,9,100,30,30,0,3,6.29
2,9,100,30,30,0,3,6.13
0,10,93,30,30,-7,3,5.903225806451613
1,10,100,30,30,0,3,6.45
2,10,100,30,30,0,2,5.83
0,11,101,27,28,7,2,5.712871287128713
1,11,100,30,30,0,3,6.25
2,11,100,30,30,0,2,5.56
0,12,101,30,30,0,2,5.742574257425742
1,12,100,30,30,0,3,6.32
2,12,100,30,30,0,2,5.67
0,13,101,30,30,0,3,5.792079207920792
1,13,100,30,30,0,3,5.93
2,13,100,30,30,0,2,5.55
0,14,101,30,30,0,1,5.98019801980198
1,14,100,30,30,0,3,6.17
2,14,100,30,30,0,2,5.59
0,15,101,30,30,0,1,5.702970297029703
1,15,100,30,30,0,3,5.92
2,15,100,30,30,0,2,5.55
0,16,101,30,30,0,1,5.623762376237623
1,16,100,30,30,0,2,5.89
2,16,100,30,30,0,2,5.59
0,17,101,30,30,0,2,5.633663366336633
1,17,100,30,30,0,2,5.93
2,17,100,30,30,0,2,5.62
0,18,101,30,30,0,2,5.5049504950495045
1,18,100,30,30,0,2,5.84
2,18,100,30,30,0,2,5.57
0,19,101,30,30,0,2,5.425742574257426
1,19,100,30,30,0,2,6.01
2,19,100,30,30,0,2,5.34
0,20,94,30,30,-7,2,5.73404255319149
1,20,100,30,30,0,2,6.07
2,20,100,30,30,0,2,5.32
0,21,101,28,28,7,2,5.603960396039604
1,21,100,30,30,0,2,5.9
