islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
0,0,100,N/A,N/A,N/A,N/A,N/A
0,1,100,30,30,0,4,7.78
1,0,100,N/A,N/A,N/A,N/A,N/A
1,1,100,30,30,0,4,7.93
2,0,100,N/A,N/A,N/A,N/A,N/A
2,1,100,30,30,0,4,7.48
3,0,100,N/A,N/A,N/A,N/A,N/A
3,1,100,30,30,0,3,7.73
4,0,100,N/A,N/A,N/A,N/A,N/A
4,1,100,30,30,0,3,7.78
0,2,100,30,30,0,4,7.4
0,3,100,30,30,0,3,6.93
1,2,100,30,30,0,4,7.35
2,2,100,30,30,0,4,7.06
3,2,100,30,30,0,3,7.48
4,2,100,30,30,0,3,7.06
0,4,100,30,30,0,4,6.78
1,3,100,30,30,0,3,6.91
2,3,100,30,30,0,4,6.84
3,3,100,30,30,0,3,7.1
3,4,100,30,30,0,3,6.62
4,3,100,30,30,0,3,6.63
0,5,100,30,30,0,3,6.69
1,4,100,30,30,0,3,6.39
1,5,100,30,30,0,3,6.24
2,4,100,30,30,0,4,6.51
3,5,100,30,30,0,3,6.42
4,4,100,30,30,0,2,6.13
0,6,100,30,30,0,4,6.44
1,6,100,30,30,0,3,6.04
1,7,100,30,30,0,3,5.89
2,5,100,30,30,0,4,6.67
2,6,100,30,30,0,3,6.71
3,6,100,30,30,0,3,6.33
4,5,100,30,30,0,3,6.17
4,6,100,30,30,0,2,5.94
0,7,100,30,30,0,3,6.48
1,8,100,30,30,0,3,5.97
1,9,100,30,30,0,3,6.08
2,7,100,30,30,0,3,6.44
3,7,100,30,30,0,3,6.43
4,7,100,30,30,0,2,6.07
0,8,100,30,30,0,3,6.32
1,10,93,30,30,-7,3,5.849462365591398
2,8,100,30,30,0,3,6.41
2,9,100,30,30,0,3,6.16
3,8,100,30,30,0,3,6.47
4,8,100,30,30,0,2,5.97
0,9,100,30,30,0,3,6.32
1,11,93,28,28,0,3,5.989247311827957
2,10,100,30,30,0,2,5.97
3,9,107,30,30,7,3,6.08411214953271
4,9,100,30,30,0,2,6.04
4,10,93,30,30,-7,4,6.494623655913978
0,10,100,30,30,0,2,6.3
1,12,100,28,28,7,3,5.85
2,11,100,30,30,0,2,5.82
3,10,99,32,32,-8,2,6.393939393939394
4,11,101,28,28,8,3,5.9405940594059405
0,11,100,30,30,0,2,6.19
1,13,100,30,30,0,2,5.62
2,12,100,30,30,0,2,5.89
3,11,98,30,29,0,2,6.010204081632653
4,12,101,30,30,0,3,6.0594059405940595
4,13,101,30,30,0,3,5.99009900990099
0,12,100,30,30,0,2,5.97
1,14,100,30,30,0,2,5.57
2,13,100,30,30,0,2,5.95
3,12,98,29,29,0,3,6.153061224489796
4,14,101,30,30,0,3,5.841584158415841
0,13,100,30,30,0,2,5.93
1,15,100,30,30,0,2,5.72
2,14,100,30,30,0,2,5.82
3,13,98,29,29,0,3,6.061224489795919
4,15,101,30,30,0,3,5.762376237623762
0,14,100,30,30,0,3,6.0
1,16,100,30,30,0,2,5.54
1,17,100,30,30,0,3,5.7
1,18,100,30,30,0,2,5.96
2,15,100,30,30,0,2,5.82
3,14,98,29,29,0,3,6.030612244897959
3,15,98,29,29,0,3,5.948979591836735
4,16,101,30,30,0,2,5.782178217821782
0,15,100,30,30,0,3,6.07
1,19,100,30,30,0,3,6.03
2,16,100,30,30,0,2,5.94
3,16,98,29,29,0,3,5.73469387755102
4,17,101,30,30,0,2,5.742574257425742
0,16,100,30,30,0,3,5.83
1,20,93,30,30,-7,2,6.258064516129032
2,17,100,30,30,0,2,6.07
3,17,98,29,29,0,3,5.744897959183674
4,18,101,30,30,0,2,5.782178217821782
0,17,100,30,30,0,2,5.84
1,21,93,28,28,0,3,5.870967741935484
1,22,93,28,28,0,2,6.182795698924731
1,23,93,28,28,0,2,6.32258064516129
2,18,107,30,30,7,2,5.775700934579439
2,19,107,32,32,0,3,6.018691588785047
3,18,98,29,29,0,2,5.959183673469388
4,19,101,30,30,0,2,5.841584158415841
4,20,94,30,30,-7,3,5.712765957446808
0,18,107,30,30,7,2,5.691588785046729
1,24,93,28,28,0,2,6.075268817204301
2,20,99,32,32,-8,3,6.0606060606060606
3,19,106,29,29,8,2,5.632075471698113
3,20,98,32,31,-7,2,5.642857142857143
4,21,101,28,28,7,2,5.524752475247524
0,19,107,32,32,0,2,5.728971962616822
1,25,93,28,28,0,2,5.978494623655914
2,21,98,30,29,0,3,5.775510204081633
3,21,98,29,29,0,3,5.857142857142857
4,22,101,30,30,0,3,5.603960396039604
4,23,101,30,30,0,3,5.653465346534653
0,20,99,32,32,-8,3,5.717171717171717
1,26,101,28,28,8,2,5.633663366336633
2,22,98,29,29,0,2,5.969387755102041
3,22,98,29,29,0,2,5.775510204081633
4,24,101,30,30,0,2,5.6138613861386135
0,21,98,30,29,0,3,5.846938775510204
1,27,101,30,30,0,2,5.99009900990099
2,23,98,29,29,0,2,5.73469387755102
3,23,98,29,29,0,2,5.591836734693878
4,25,101,30,30,0,2,5.465346534653466
4,26,101,30,30,0,2,5.445544554455446
4,27,101,30,30,0,2,5.821782178217822
0,22,98,29,29,0,3,5.948979591836735
1,28,101,30,30,0,2,5.97029702970297
2,24,98,29,29,0,3,5.673469387755102
3,24,98,29,29,0,1,5.714285714285714
4,28,101,30,30,0,2,5.5049504950495045
4,29,101,30,30,0,2,5.485148514851486
0,23,98,29,29,0,2,5.826530612244898
1,29,101,30,30,0,3,5.544554455445544
2,25,98,29,29,0,2,5.826530612244898
3,25,98,29,29,0,2,5.5
4,30,94,30,30,-7,2,5.574468085106383
0,24,105,29,29,7,2,5.6571428571428575
1,30,94,30,30,-7,2,5.904255319148936
2,26,98,29,29,0,2,5.918367346938775
3,26,98,29,29,0,2,5.479591836734694
4,31,94,28,28,0,2,5.6063829787234045
0,25,105,31,31,0,2,5.771428571428571
1,31,94,28,28,0,2,5.75531914893617
2,27,105,29,29,7,2,5.390476190476191
2,28,105,31,31,0,2,5.314285714285714
3,27,98,29,29,0,2,5.877551020408164
4,32,94,28,28,0,2,5.595744680851064
0,26,105,31,31,0,3,5.685714285714286
1,32,94,28,28,0,2,5.6063829787234045
2,29,105,31,31,0,2,5.238095238095238
3,28,98,29,29,0,1,5.561224489795919
4,33,94,28,28,0,2,5.74468085106383
0,27,105,31,31,0,2,5.666666666666667
1,33,94,28,28,0,2,5.6063829787234045
1,34,94,28,28,0,2,5.723404255319149
2,30,98,31,31,-7,3,5.76530612244898
3,29,98,29,29,0,1,5.438775510204081
4,34,94,28,28,0,2,5.872340425531915
0,28,105,31,31,0,3,6.019047619047619
1,35,94,28,28,0,2,5.659574468085107
2,31,98,29,29,0,3,5.591836734693878
3,30,91,29,29,-7,2,5.472527472527473
